Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Number of Modified Lines;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/cassandra/db/compaction/SizeTieredCompactionStrategy;0;3;1;14;12;0;0;4;13;66;0;4;9;1.09;77;1;0;0;0.22;0;0;5
org/apache/cassandra/db/compaction/UserInterruptedException;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/db/context/CounterContext;0;3;2;232;18;1;0;11;19;153;5;6;15;1.06;114;1;0;0;0.27;0;0;5
org/apache/cassandra/db/CounterColumn;1;2;1;110;25;0;0;18;26;300;4;14;22;1.04;153;1;1;0;0.14;0;0;5
org/apache/cassandra/db/CounterMutation;0;4;2;116;14;1;0;8;15;91;2;7;13;1.08;88;1;2;0;0.17;0;0;5
org/apache/cassandra/db/DataTracker;3;7;3;85;40;1;0;9;41;780;4;7;36;1.03;246;0.67;1;0;0.17;0;0;5
org/apache/cassandra/db/EchoedRow;1;2;2;9;7;0;0;3;16;13;0;3;6;0.75;64;0.5;1;0;0.38;0;0;7.86
org/apache/cassandra/db/ExpiringColumn;1;1;1;5;15;0;0;14;43;37;2;12;14;0.5;256;0.67;0;0;0.21;0;0;15.87
org/apache/cassandra/db/filter/QueryFilter;0;2;1;25;14;1;0;19;15;91;7;13;14;1.08;89;0.4;4;0;0.18;0;0;5
org/apache/cassandra/db/filter/QueryPath;0;2;1;18;10;1;0;10;11;45;8;2;10;1.11;63;0;0;0;0.26;0;0;5
org/apache/cassandra/db/HintedHandOffManager;2;10;3;127;15;1;0;7;16;105;0;7;8;1.07;98;0.75;1;0;0.21;0;0;5
org/apache/cassandra/db/HintedHandOffManagerMBean;0;1;1;8;4;1;0;1;4;6;1;0;4;2;4;0;0;0;0.75;0;0;0
org/apache/cassandra/db/IColumn;1;2;1;11;25;1;0;48;25;300;44;5;25;1.04;26;0;0;0;0.18;0;0;0
org/apache/cassandra/db/IColumnContainer;0;1;1;2;9;1;0;9;9;36;6;3;9;2;9;0;0;0;0.33;0;0;0
org/apache/cassandra/db/index/keys/KeysIndex;2;7;2;136;14;0;0;8;15;91;0;8;14;1.08;86;1;1;0;0.34;0;0;5
org/apache/cassandra/db/index/keys/KeysSearcher;1;3;2;29;5;0;0;8;6;10;0;8;2;1.25;31;1;0;0;0.3;0;0;5
org/apache/cassandra/db/index/PerColumnSecondaryIndex;0;2;2;1;5;0;1;4;7;10;1;3;5;2;11;0;0;0;0.75;0;0;1.2
org/apache/cassandra/db/index/PerRowSecondaryIndex;0;1;1;0;4;0;0;4;12;6;0;4;4;2;24;0;0;0;0.42;0;0;5
org/apache/cassandra/db/index/SecondaryIndex;1;6;2;207;20;1;2;8;21;190;3;5;14;1.05;74;0.75;1;0;0.28;0;0;2.5
org/apache/cassandra/db/index/SecondaryIndexBuilder;0;3;2;15;3;1;0;8;13;0;1;7;3;0.17;64;1;2;0;0.5;0;0;19.33
org/apache/cassandra/db/index/SecondaryIndexManager;2;11;2;385;18;1;0;11;19;153;3;9;17;1.06;112;0.75;1;0;0.16;0;0;5
org/apache/cassandra/db/index/SecondaryIndexSearcher;0;1;1;10;5;1;1;12;6;10;3;9;5;1.25;28;1;2;0;0.28;0;0;4
org/apache/cassandra/db/IndexScanCommand;0;1;1;9;3;1;0;6;4;3;1;6;3;1.5;24;0.17;2;0;0.38;0;0;5
org/apache/cassandra/db/ISortedColumns;0;2;1;10;15;1;0;13;15;105;10;4;15;2;15;0;0;0;0.29;0;0;0
org/apache/cassandra/db/marshal/BytesType;0;1;1;4;12;0;0;5;19;66;0;5;10;1;82;0;1;0;0.45;0;0;5.75
org/apache/cassandra/db/marshal/DecimalType;1;1;1;9;11;0;0;4;27;55;0;4;9;1;157;0;1;0;0.38;0;0;13.18
org/apache/cassandra/db/marshal/Int32Type;0;1;1;0;11;0;0;5;26;55;0;5;9;1;138;0;1;0;0.38;0;0;11.45
org/apache/cassandra/db/marshal/UTF8Type;0;1;1;3;7;0;0;2;8;21;0;2;6;1.17;43;0;1;0;0.62;0;0;5
org/apache/cassandra/db/Memtable;0;4;2;35;20;1;0;15;21;190;4;12;14;1.05;133;0.85;3;0;0.18;0;0;5
org/apache/cassandra/db/MeteredFlusher;0;1;1;2;3;1;0;1;4;3;0;1;1;1.5;19;1;0;0;1;0;0;5
org/apache/cassandra/db/migration/AddColumnFamily;0;1;1;10;7;0;0;5;8;21;0;5;5;1.17;43;1;1;0;0.39;0;0;5
org/apache/cassandra/db/migration/DropColumnFamily;1;2;1;4;10;0;0;13;43;31;0;13;7;0.7;223;0.67;0;0;0.42;0;0;21
org/apache/cassandra/db/migration/DropKeyspace;1;2;1;5;8;0;0;13;35;22;0;13;7;0.71;160;1;0;0;0.54;0;0;18.88
org/apache/cassandra/db/migration/RenameColumnFamily;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/db/migration/RenameKeyspace;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/db/migration/UpdateKeyspace;0;1;1;2;9;0;0;8;28;32;0;8;6;0.88;139;0.67;2;0;0.54;0;0;14.11
org/apache/cassandra/db/RangeSliceCommand;0;1;1;26;6;1;0;8;7;15;2;7;6;1.2;43;0.14;2;0;0.31;0;0;5
org/apache/cassandra/db/RangeSliceReply;0;1;1;17;4;1;0;1;5;6;0;1;4;1.33;25;0;0;0;0.35;0;0;5
org/apache/cassandra/db/ReadCommand;0;3;2;57;13;1;2;20;20;56;8;13;10;0.94;87;0.38;2;0;0.18;0;0;5.08
org/apache/cassandra/db/ReadRepairVerbHandler;1;1;1;5;2;1;0;7;18;1;0;7;2;2;51;0;0;0;0.67;0;0;24.5
org/apache/cassandra/db/ReadResponse;2;4;2;53;7;1;0;8;11;0;6;3;6;0.67;72;0.75;2;0;0.39;0;0;8.71
org/apache/cassandra/db/ReadVerbHandler;0;1;1;22;3;1;0;6;4;3;0;6;3;1.5;19;1;0;0;0.4;0;0;5
org/apache/cassandra/db/RetriedSliceFromReadCommand;0;1;1;0;5;0;0;5;6;10;0;5;5;1.25;32;0;0;0;0.43;0;0;5
org/apache/cassandra/db/Row;1;3;2;30;4;1;0;18;13;0;16;3;3;0.67;55;0.25;3;0;0.44;0;0;11.75
org/apache/cassandra/db/RowIteratorFactory;0;3;1;17;2;1;0;5;3;1;0;5;2;2;14;1;0;0;0.5;0;0;5
org/apache/cassandra/db/RowMutation;2;6;2;78;26;1;0;24;27;325;15;10;25;1.4;162;0.83;1;0;0.13;0;0;5
org/apache/cassandra/db/RowMutationVerbHandler;0;1;1;8;3;1;0;3;4;3;0;3;2;1.5;19;1;0;0;0.58;0;0;5
org/apache/cassandra/db/SliceByNamesReadCommand;0;2;1;56;5;0;0;6;6;10;1;5;5;1.25;31;0;0;0;0.4;0;0;5
org/apache/cassandra/db/SliceFromReadCommand;0;3;2;94;8;0;1;8;9;28;1;7;7;1.14;53;0;0;0;0.28;0;0;5
org/apache/cassandra/db/SuperColumn;2;4;2;27;26;0;0;19;27;325;9;10;24;1.4;158;1;0;0;0.17;0;0;5
org/apache/cassandra/db/SystemTable;1;9;3;123;21;1;0;5;22;210;0;5;17;1.5;141;0.73;0;0;0.08;0;0;5
org/apache/cassandra/db/Table;2;8;3;77;31;1;0;21;32;465;11;12;26;1.03;194;0.5;1;0;0.12;0;0;5
org/apache/cassandra/db/ThreadSafeSortedColumns;0;2;1;10;21;3;0;9;45;206;3;7;16;0.9;175;0;1;0.86;0.2;1;2;7.24
org/apache/cassandra/db/TreeMapBackedSortedColumns;1;3;2;18;21;3;0;9;45;206;3;7;16;0.9;200;0;1;0.85;0.2;0;0;8.43
org/apache/cassandra/db/TruncateResponse;0;1;1;17;4;1;0;4;13;4;1;4;3;0.83;50;0.25;1;0;0.33;0;0;10.5
org/apache/cassandra/db/Truncation;0;2;1;30;5;1;0;8;18;6;2;7;4;0.67;67;0.33;1;0;0.42;0;0;11.8
org/apache/cassandra/db/WriteResponse;0;2;1;35;7;1;0;5;13;13;2;4;6;0.79;52;1;1;0;0.25;0;0;5.86
org/apache/cassandra/dht/AbstractBounds;0;1;1;11;11;1;2;14;32;37;11;7;9;0.78;237;0.5;4;0;0.25;1;1;20
org/apache/cassandra/dht/AbstractByteOrderedPartitioner;0;1;1;7;12;1;2;7;13;66;2;5;10;1.09;70;0.33;2;0;0.26;0;0;4.58
org/apache/cassandra/dht/BootStrapper;0;3;1;43;9;1;0;6;10;36;0;6;5;1.13;59;1;2;0;0.24;0;0;5
org/apache/cassandra/dht/BytesToken;0;1;1;3;6;0;0;7;15;3;3;4;6;1.2;77;0;0;0;0.33;0;0;11.67
org/apache/cassandra/dht/RandomPartitioner;1;2;2;11;14;1;0;10;51;73;1;10;13;0.86;318;0.33;2;0;0.37;0;0;21.29
org/apache/cassandra/dht/Token;0;1;1;9;8;1;4;35;13;14;35;1;6;0.86;49;0.67;1;0;0.48;1;1;4.75
org/apache/cassandra/gms/EndpointState;0;1;1;33;14;1;0;15;15;91;10;5;5;1.08;91;0.86;2;0;0.27;0;0;5
org/apache/cassandra/gms/FailureDetector;0;2;2;30;17;1;0;5;18;136;0;5;16;1.06;109;0.71;1;0;0.21;0;0;5
org/apache/cassandra/gms/GossipDigest;0;1;1;21;9;1;0;3;16;12;2;2;4;0.66;93;0.25;1;0;0.28;0;0;8.89
org/apache/cassandra/gms/GossipDigestAck2Message;0;1;1;21;4;1;0;3;7;2;2;2;1;0.67;27;0.5;1;0;0.5;0;0;5.25
org/apache/cassandra/gms/GossipDigestAck2VerbHandler;0;1;1;4;2;1;0;3;3;1;0;3;2;2;13;1;0;0;0.67;0;0;5
org/apache/cassandra/gms/GossipDigestAckMessage;0;1;1;21;5;1;0;3;9;4;2;2;0;0.75;40;0.33;1;0;0.42;0;0;6.4
org/apache/cassandra/gms/GossipDigestSynMessage;0;1;1;32;3;1;0;2;4;3;1;1;2;1.5;21;0.33;1;0;0.44;0;0;5
org/apache/cassandra/gms/Gossiper;0;11;4;162;58;1;0;16;59;1653;2;14;31;1.02;369;0.67;3;0;0.13;0;0;5
org/apache/cassandra/gms/GossiperMBean;0;1;1;2;4;1;0;1;4;6;1;0;4;2;4;0;0;0;1;0;0;0
org/apache/cassandra/gms/HeartBeatState;0;1;1;21;8;1;0;4;11;14;2;3;1;0.67;49;1;1;0;0.57;0;0;4.75
org/apache/cassandra/gms/IFailureDetector;0;1;1;8;7;1;0;3;7;21;2;1;7;2;7;0;0;0;0.67;0;0;0
org/apache/cassandra/gms/VersionedValue;0;2;2;33;8;1;0;14;18;20;12;3;3;0.96;104;0;1;0;0.49;0;0;10.13
org/apache/cassandra/hadoop/ColumnFamilyInputFormat;0;4;3;148;7;1;0;10;8;21;1;9;4;1.17;48;0.5;0;0;0.25;0;0;5
org/apache/cassandra/hadoop/ColumnFamilyOutputFormat;0;1;1;6;7;1;0;9;8;21;0;9;6;1.17;45;0.33;0;0;0.3;0;0;5
org/apache/cassandra/hadoop/ColumnFamilyRecordReader;2;8;3;340;14;1;0;8;15;91;1;8;12;1.08;97;0.92;3;0;0.19;0;0;5
org/apache/cassandra/hadoop/ColumnFamilyRecordWriter;0;1;1;5;6;1;0;7;7;15;2;5;3;1.2;42;1;1;0;0.33;0;0;5
org/apache/cassandra/hadoop/ColumnFamilySplit;0;1;1;8;10;1;0;1;11;45;1;0;9;1.11;63;1;0;0;0.28;0;0;5
org/apache/cassandra/hadoop/ConfigHelper;1;3;3;71;32;1;0;5;33;496;0;5;28;1.03;213;1;0;0;0.21;0;0;5
org/apache/cassandra/hadoop/pig/CassandraStorage;1;4;2;228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/io/compress/CompressedRandomAccessReader;1;3;3;32;8;0;0;5;9;28;1;4;5;1.14;55;1;1;0;0.4;0;0;5
org/apache/cassandra/io/compress/CompressedSequentialWriter;0;3;2;51;10;0;0;9;44;13;0;9;7;0.63;376;0.9;4;0;0.29;0;0;35.6
org/apache/cassandra/io/compress/CompressionMetadata;1;4;3;111;6;1;0;12;33;1;5;8;4;0.56;214;0.2;2;0;0.42;0;0;33.83
org/apache/cassandra/io/compress/CompressionParameters;2;4;3;44;15;1;0;6;16;105;4;2;9;1.07;96;0.17;1;0;0.23;1;1;5
org/apache/cassandra/io/compress/DeflateCompressor;1;1;1;2;6;1;0;4;22;9;2;4;4;0.67;128;0.67;1;0;0.44;0;0;19.83
org/apache/cassandra/io/compress/SnappyCompressor;0;1;1;5;5;1;0;2;6;10;0;2;5;1.25;31;0;1;0;0.44;0;0;5
org/apache/cassandra/io/IColumnSerializer;1;2;2;20;1;1;0;7;1;0;4;3;1;2;1;0;0;0;1;0;0;0
org/apache/cassandra/io/ICompactSerializer;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/io/ICompactSerializer2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/io/ICompactSerializer3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org/apache/cassandra/io/ISerializer;0;1;1;0;3;1;0;9;3;3;9;0;3;2;3;0;0;0;0.58;0;0;0
org/apache/cassandra/io/IVersionedSerializer;0;1;1;0;3;1;0;42;3;3;42;0;3;2;3;0;0;0;0.67;0;0;0
org/apache/cassandra/io/SerDeUtils;0;1;1;2;7;1;0;4;8;21;0;4;7;1.17;43;1;0;0;0.31;0;0;5
org/apache/cassandra/io/sstable/Component;0;2;2;38;7;1;0;7;8;21;5;2;7;1.17;54;0;8;0;0.29;1;1;5
org/apache/cassandra/io/sstable/Descriptor;1;8;2;90;16;1;0;20;17;120;18;2;13;1.07;114;0.06;0;0;0.26;1;1;5
org/apache/cassandra/io/sstable/IndexHelper;0;1;1;4;9;1;0;11;38;34;0;11;8;0.88;193;0;0;0;0.23;0;0;20.33
org/apache/cassandra/io/sstable/IndexSummary;0;1;1;4;7;1;0;6;21;3;2;4;7;0.42;97;1;0;0;0.57;0;0;12.57
org/apache/cassandra/io/sstable/ReducingKeyIterator;0;3;1;14;9;1;0;10;25;6;2;9;9;0.25;123;1;1;0;0.56;0;0;12.56
org/apache/cassandra/io/sstable/SSTable;0;4;2;42;14;1;2;13;15;91;5;8;9;1.08;101;0.06;5;0;0.17;0;0;5
org/apache/cassandra/io/sstable/SSTableBoundedScanner;0;1;1;5;6;0;0;7;17;1;1;7;2;0.7;101;1;1;0;0.28;0;0;15.5
org/apache/cassandra/io/sstable/SSTableIdentityIterator;1;2;2;23;17;1;0;14;18;136;4;10;15;1.06;114;0.83;4;0;0.21;0;0;5
org/apache/cassandra/io/sstable/SSTableLoader;1;2;1;4;8;1;0;11;41;12;2;11;3;0.61;188;1;2;0;0.23;0;0;22
org/apache/cassandra/io/sstable/SSTableMetadata;2;10;3;301;6;1;0;8;7;15;5;5;2;1.2;44;0.13;4;0;0.19;0;0;5
org/apache/cassandra/io/sstable/SSTableReader;1;17;3;202;53;0;0;53;54;1378;32;25;46;1.02;331;0.92;8;0;0.08;0;0;5
org/apache/cassandra/io/sstable/SSTableScanner;0;1;1;8;10;1;1;12;11;45;6;7;8;1.11;67;0.86;4;0;0.3;0;0;5
org/apache/cassandra/io/sstable/SSTableWriter;3;12;3;97;19;0;0;22;20;171;8;15;13;1.06;121;1;6;0;0.16;0;0;5
org/apache/cassandra/io/util/BufferedSegmentedFile;0;1;1;4;3;0;0;4;8;3;1;3;3;2;27;0;0;0;0.67;0;0;8
org/apache/cassandra/io/util/ColumnSortedMap;1;1;1;25;27;1;0;4;26;343;0;4;27;0.96;169;1;2;0;0.18;0;0;5.04
org/apache/cassandra/io/util/CompressedSegmentedFile;1;4;3;10;3;0;0;6;7;1;1;5;3;0.5;33;0;1;0;0.5;0;0;9.67
org/apache/cassandra/io/util/FileUtils;0;1;1;10;17;1;0;3;18;136;2;1;17;1.06;108;1;0;0;0.11;0;0;5
org/apache/cassandra/io/util/MappedFileDataInput;0;1;1;11;18;0;0;5;49;1;0;5;15;0.63;328;0.75;0;0;0.26;0;0;17
org/apache/cassandra/io/util/MmappedSegmentedFile;0;1;1;4;6;0;0;4;7;15;0;4;5;1.1;40;0.75;1;0;0.38;0;0;5
org/apache/cassandra/io/util/SegmentedFile;1;3;2;15;8;1;3;11;20;26;9;7;6;0.76;74;0;0;0;0.35;0;0;7.88
org/apache/cassandra/io/util/SequentialWriter;0;4;3;67;26;2;1;8;56;161;5;4;18;0.72;539;0.88;0;0.17;0.22;1;1;19.12
org/apache/cassandra/locator/AbstractEndpointSnitch;0;1;1;34;5;1;3;5;9;10;4;2;5;2;28;0;0;0;0.5;0;0;4.6
org/apache/cassandra/locator/AbstractNetworkTopologySnitch;0;1;1;29;4;0;3;4;7;6;3;1;4;2;93;0;0;0;0.88;0;0;22.25
org/apache/cassandra/locator/DynamicEndpointSnitch;0;1;1;9;23;0;0;12;85;157;2;12;15;0.87;481;0.83;1;0;0.21;0;0;19.39
org/apache/cassandra/locator/Ec2MultiRegionSnitch;0;1;1;21;9;0;0;9;15;36;0;9;8;1.09;70;1;0;0;0.51;0;0;6.33
org/apache/cassandra/locator/Ec2Snitch;0;1;1;12;5;0;1;4;6;10;1;3;4;1.25;36;1;0;0;0.53;0;0;5
org/apache/cassandra/locator/NetworkTopologyStrategy;0;1;1;4;6;0;0;7;7;15;1;6;6;1.2;39;1;1;0;0.36;0;0;5
org/apache/cassandra/locator/SimpleSeedProvider;0;1;1;2;3;1;0;2;4;3;0;2;3;1.5;20;1;0;0;0.56;0;0;5
org/apache/cassandra/locator/SimpleSnitch;0;1;1;12;5;0;0;1;6;10;0;1;5;2;15;0;0;0;0.67;0;0;2
org/apache/cassandra/locator/TokenMetadata;0;2;1;40;42;1;0;12;43;861;7;6;40;1.02;261;1;0;0;0.19;0;0;5
org/apache/cassandra/net/CompactEndpointSerializationHelper;0;1;1;8;5;1;0;1;14;8;1;0;4;0.75;57;0;0;0;0.31;0;0;10.2
org/apache/cassandra/net/Header;0;3;2;58;9;1;0;5;10;36;3;2;1;1.13;58;1;2;0;0.31;0;0;5
org/apache/cassandra/net/IncomingTcpConnection;0;5;2;28;5;2;0;3;6;10;0;3;2;1.25;34;0.75;0;0.94;0.4;0;0;5
